Id,SalePrice
1461,140005.66100291017
1462,322886.8082461086
1463,185209.19522431737
1464,199259.20897947528
1465,214046.31814184412
1466,176824.28200513485
1467,199719.93171359753
1468,163878.5163332965
1469,189026.83905139018
1470,125363.74561003233
1471,191185.12878821214
1472,108451.37307056747
1473,100552.93877682701
1474,151589.85275636532
1475,111147.95580637008
1476,348864.2580425283
1477,261611.62376818448
1478,298352.5386825252
1479,291272.25182812475
1480,427510.2118406395
1481,306892.72889931983
1482,207371.99849001603
1483,182532.77147455193
1484,179260.16103312167
1485,186228.47591652162
1486,201888.6609891191
1487,330992.65565676655
1488,225288.57879325224
1489,206621.52896278765
1490,274307.39442927565
1491,200550.79757043478
1492,90913.27201865606
1493,195192.1016855462
1494,297322.91200533137
1495,292097.59452187346
1496,237592.86315170396
1497,173980.10684703925
1498,161229.05061903803
1499,164554.13701566105
1500,164079.55882239953
1501,188363.22950262149
1502,145384.54698596508
1503,278623.4835936391
1504,253798.2457168112
1505,243636.11939935124
1506,186582.64271111847
1507,249595.70486990357
1508,196575.84903821023
1509,145614.80407065802
1510,147497.10336060863
1511,161211.81956425885
1512,200379.1054275345
1513,152510.22423736888
1514,170294.09509164208
1515,214782.13339259947
1516,162545.84715550096
1517,190038.59477617382
1518,128840.2549219314
1519,237260.65774048425
1520,133315.38032689603
1521,136716.10754940956
1522,193913.50999522518
1523,103486.02814590013
1524,127389.42165489751
1525,120567.58277693474
1526,66041.05870845792
1527,91740.39042939052
1528,146668.53282611602
1529,141899.2542672603
1530,224163.0585801171
1531,138164.10380667084
1532,107534.14107700626
1533,170086.44162249094
1534,139300.219305342
1535,167545.21460746127
1536,106527.78043911912
1537,41687.07712483744
1538,157986.83780066564
1539,200752.3532677524
1540,95816.80169322054
1541,149745.56016480026
1542,155937.96153031924
1543,171285.7170460372
1544,97193.04815020456
1545,115230.39487108335
1546,143736.540284531
1547,169625.8943221878
1548,146214.09108823168
1549,116661.5498952565
1550,139803.43871821233
1551,115530.79307167517
1552,147453.74207301842
1553,160083.9244312161
1554,114685.12693807826
1555,182533.67850259563
1556,67327.81884237911
1557,89313.48271732779
1558,120740.06621894664
1559,42589.746687296225
1560,142674.45671659106
1561,148059.38158868713
1562,131846.920733834
1563,121429.22096204876
1564,175394.42188890406
1565,143427.81672344625
1566,240001.79162930656
1567,76843.3302023332
1568,247403.58986992
1569,147145.05947447882
1570,144979.78258034855
1571,104800.17552087344
1572,150929.94380808293
1573,279294.2474973529
1574,132405.08788562636
1575,250067.42601707106
1576,255554.50680637365
1577,188073.67395824514
1578,129232.30235237317
1579,138310.1883376728
1580,194602.73368165988
1581,163365.7293389141
1582,127593.5839544893
1583,285869.8323881302
1584,230769.10509992123
1585,142611.67382561378
1586,59126.57155138685
1587,124193.05041077746
1588,167888.44370858607
1589,120014.59783630983
1590,135986.35254919686
1591,83993.70677931792
1592,131698.64801124274
1593,132785.24321607072
1594,178848.52210837303
1595,106326.67959507849
1596,245216.00240026557
1597,211176.9556480021
1598,218306.92878272373
